id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12
23599165-23599165_analysis_6	2	1	0	0	1	0	0	0	0	0	0	0
23599165-23599165_analysis_7	0	0	0	1	0	0	0	0	0	0	0	0
23667619-23667619_analysis_0	0	1	1	0	1	0	0	0	0	0	0	0
23667619-23667619_analysis_1	0	0	0	1	0	0	0	0	0	0	0	0
23667619-23667619_analysis_2	1	1	0	0	0	0	0	0	0	0	0	0
23667619-23667619_analysis_3	2	0	0	1	1	0	0	0	0	0	0	0
23684882-23684882_analysis_0	2	1	0	2	1	0	0	0	0	0	0	0
23684882-23684882_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0
23722983-23722983_analysis_0	0	0	1	0	1	0	0	0	0	0	0	0
23722983-23722983_analysis_1	0	1	0	1	0	0	0	0	0	0	0	0
23722983-23722983_analysis_2	0	1	0	1	0	0	0	0	0	0	0	0
23813661-23813661_analysis_0	3	6	0	3	2	0	0	0	0	0	0	0
23813661-23813661_analysis_1	2	5	0	3	0	0	0	0	0	0	0	0
23813661-23813661_analysis_2	0	1	1	1	0	0	0	0	0	0	0	0
23813661-23813661_analysis_3	0	2	0	0	0	0	0	0	0	0	0	0
23813661-23813661_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0
24243619-24243619_analysis_0	0	1	0	1	1	0	0	0	0	0	0	0
24243619-24243619_analysis_1	0	3	0	2	0	0	0	0	0	0	0	0
24243619-24243619_analysis_2	0	1	2	0	0	0	0	0	0	0	0	0
24294841-24294841_analysis_0	0	3	0	2	0	0	0	0	0	0	0	0
24294841-24294841_analysis_1	0	1	1	4	1	0	0	0	0	0	0	0
24294841-24294841_analysis_2	0	0	0	3	0	0	0	0	0	0	0	0
24294841-24294841_analysis_3	0	0	0	1	0	0	0	0	0	0	0	0
24294841-24294841_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0
24294841-24294841_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0
24294841-24294841_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0
24294841-24294841_analysis_7	0	0	0	0	0	0	0	0	0	0	0	0
24294906-24294906_analysis_0	1	0	2	0	1	0	0	0	0	0	0	0
24294906-24294906_analysis_1	0	0	0	0	1	0	0	0	0	0	0	0
24414614-24414614_analysis_0	0	0	0	1	0	0	0	0	0	0	0	0
24414614-24414614_analysis_1	0	0	0	1	0	0	0	0	0	0	0	0
24414614-24414614_analysis_2	2	2	0	2	0	0	0	0	0	0	0	0
24414614-24414614_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0
24414614-24414614_analysis_4	0	4	0	2	0	0	0	0	0	0	0	0
24414614-24414614_analysis_5	0	0	0	0	1	0	0	0	0	0	0	0
24414614-24414614_analysis_6	0	2	0	1	1	0	0	0	0	0	0	0
24462962-24462962_analysis_0	1	0	0	1	0	0	0	0	0	0	0	0
24582805-24582805_analysis_0	1	4	0	1	0	0	0	0	0	0	0	0
24582805-24582805_analysis_1	1	3	2	0	3	0	0	0	0	0	0	0
24582805-24582805_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0
24582805-24582805_analysis_3	1	2	1	2	1	0	1	0	0	0	0	0
24582805-24582805_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0
24582805-24582805_analysis_5	0	0	1	0	0	0	0	0	0	0	0	0
24582805-24582805_analysis_6	1	0	0	0	0	0	0	0	0	0	0	0
24583253-24583253_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0
24583253-24583253_analysis_1	0	1	0	1	0	0	0	0	0	0	0	0
24583253-24583253_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0
24583253-24583253_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0
